,NEIGHBORHOOD,building_category,building_class,zip_code,total_unit,square_feet,house_age,price
7470,MIDTOWN CBD,45,RH,10022,1.0,4256.917964482139,113.0,227000.0
42949,OCEAN HILL,02,B9,11233,2.0,2400.0,106.0,750000.0
54223,DOUGLASTON,04,R3,11362,1.0,4256.917964482139,24.0,725000.0
19746,COUNTRY CLUB,01,A5,10465,1.0,1776.0,51.0,546500.0
33894,CONEY ISLAND,13,R4,11224,1.0,4256.917964482139,53.0,560000.0
49141,WINDSOR TERRACE,02,B1,11215,2.0,2048.0,107.0,625000.0
29294,BOROUGH PARK,02,B1,11219,2.0,2800.0,97.0,1600000.0
3879,GREENWICH VILLAGE-CENTRAL,10,D4,10011,2.3948661722025153,4256.917964482139,55.0,1687000.0
56730,FLUSHING-NORTH,01,A5,11355,1.0,1224.0,66.0,858000.0
56448,FLUSHING-NORTH,01,A2,11355,1.0,1080.0,67.0,870000.0
78209,GRASMERE,01,A5,10305,1.0,1830.0,1.0,529490.0
81892,PRINCES BAY,01,A2,10309,1.0,1672.0,57.0,1125000.0
71287,ROSEDALE,01,A2,11422,1.0,1250.0,67.0,250000.0
13569,UPPER EAST SIDE (79-96),09,C6,10028,2.3948661722025153,4256.917964482139,107.0,615000.0
9429,MIDTOWN WEST,13,R4,10019,1.0,4256.917964482139,86.0,700000.0
46420,SHEEPSHEAD BAY,10,D4,11235,2.3948661722025153,4256.917964482139,58.0,429000.0
31634,BUSHWICK,02,B3,11207,2.0,2532.0,116.0,825000.0
23287,RIVERDALE,13,R4,10463,1.0,4256.917964482139,15.0,465000.0
75568,WOODHAVEN,02,B3,11421,2.0,2296.0,116.0,877000.0
27875,BEDFORD STUYVESANT,44,RP,11216,1.0,4256.917964482139,8.0,26260.0
51778,BAYSIDE,10,D4,11360,2.3948661722025153,4256.917964482139,48.0,340000.0
37469,FLATBUSH-CENTRAL,07,C2,11226,6.0,6720.0,87.0,1150000.0
13120,UPPER EAST SIDE (59-79),13,R4,10075,1.0,4256.917964482139,30.0,1530000.0
37781,FLATBUSH-EAST,01,A1,11226,1.0,1305.0,97.0,540000.0
39327,FLATLANDS,10,D4,11234,2.3948661722025153,4256.917964482139,50.0,190000.0
7128,MANHATTAN VALLEY,13,R4,10025,1.0,4256.917964482139,56.0,725000.0
74160,ST. ALBANS,01,A1,11411,1.0,1596.0,92.0,354350.0
73230,SOUTH OZONE PARK,02,B3,11420,2.0,1332.0,97.0,352000.0
44627,PARK SLOPE,09,C6,11217,2.3948661722025153,4256.917964482139,99.0,925000.0
37482,FLATBUSH-CENTRAL,07,C1,11226,13.0,5720.0,86.0,1050000.0
10021,MURRAY HILL,10,D4,10016,2.3948661722025153,4256.917964482139,92.0,660000.0
73682,SPRINGFIELD GARDENS,01,A1,11434,1.0,1148.0,96.0,180000.0
51794,BAYSIDE,10,D4,11360,2.3948661722025153,4256.917964482139,48.0,640000.0
78566,GREAT KILLS,01,A6,10308,1.0,600.0,97.0,418500.0
53156,COLLEGE POINT,02,B1,11356,2.0,2895.0,86.0,910000.0
37275,FLATBUSH-CENTRAL,01,A1,11230,1.0,2103.0,117.0,1825000.0
76035,WOODSIDE,12,R2,11377,1.0,4256.917964482139,89.0,324480.0
79697,MARINERS HARBOR,02,S2,10303,3.0,2450.0,118.0,430000.0
57430,FLUSHING-NORTH,10,D4,11354,2.3948661722025153,4256.917964482139,58.0,165000.0
31370,BUSHWICK,01,S1,11221,2.0,2250.0,85.0,850000.0
51891,BAYSIDE,13,R4,11360,1.0,4256.917964482139,45.0,770000.0
71333,ROSEDALE,01,A2,11413,1.0,1286.0,82.0,396000.0
59862,FLUSHING-SOUTH,10,D4,11367,2.3948661722025153,4256.917964482139,64.0,220000.0
80438,NEW DORP,01,A2,10306,1.0,1008.0,56.0,447500.0
71743,SO. JAMAICA-BAISLEY PARK,01,A1,11436,1.0,1552.0,87.0,541114.0
58276,FLUSHING-NORTH,13,R4,11354,1.0,4256.917964482139,2.0,638685.0
15433,UPPER WEST SIDE (59-79),10,D4,10024,2.3948661722025153,4256.917964482139,90.0,1200000.0
8924,MIDTOWN WEST,09,C6,10019,2.3948661722025153,4256.917964482139,97.0,1275000.0
63402,HOWARD BEACH,10,D4,11414,2.3948661722025153,4256.917964482139,55.0,124000.0
24363,THROGS NECK,02,B3,10465,2.0,1750.0,92.0,540000.0
3754,GREENWICH VILLAGE-CENTRAL,10,D0,10003,2.3948661722025153,4256.917964482139,87.0,1312500.0
26181,BAY RIDGE,10,D4,11209,2.3948661722025153,4256.917964482139,67.0,420000.0
24848,WILLIAMSBRIDGE,01,A1,10467,1.0,2454.0,92.0,434200.0
52222,BELLE HARBOR,01,A1,11694,1.0,2733.0,82.0,1932000.0
43270,OCEAN PARKWAY-NORTH,01,A1,11230,1.0,1772.0,97.0,1400000.0
5519,HARLEM-CENTRAL,15,R1,10030,1.0,4256.917964482139,106.0,460000.0
33258,CLINTON HILL,10,D4,11205,2.3948661722025153,4256.917964482139,73.0,650000.0
26388,BAY RIDGE,13,R4,11209,1.0,4256.917964482139,11.0,1074000.0
34237,CROWN HEIGHTS,02,B1,11213,2.0,2594.0,115.0,675000.0
4712,GREENWICH VILLAGE-WEST,13,R4,10014,1.0,4256.917964482139,30.0,1100000.0
28753,BOERUM HILL,07,C3,11217,4.0,2268.0,117.0,25000.0
69019,QUEENS VILLAGE,01,A5,11411,1.0,1152.0,67.0,423000.0
67912,OAKLAND GARDENS,09,C6,11364,2.3948661722025153,4256.917964482139,67.0,275000.0
13647,UPPER EAST SIDE (79-96),10,D4,10028,2.3948661722025153,4256.917964482139,87.0,1950000.0
71707,SO. JAMAICA-BAISLEY PARK,01,A1,11436,1.0,914.0,101.0,312500.0
82693,SOUTH BEACH,01,A5,10305,1.0,1432.0,26.0,446000.0
36399,EAST NEW YORK,02,S2,11207,3.0,4320.0,9.0,703100.0
67813,OAKLAND GARDENS,09,C6,11364,2.3948661722025153,4256.917964482139,58.0,162500.0
19233,BRONXDALE,02,B3,10467,2.0,2022.0,92.0,495000.0
57512,FLUSHING-NORTH,10,D4,11354,2.3948661722025153,4256.917964482139,54.0,240000.0
53826,CORONA,07,C3,11368,4.0,2360.0,84.0,960000.0
38777,FLATBUSH-NORTH,01,A5,11203,1.0,1284.0,67.0,515000.0
41328,MADISON,01,A9,11229,1.0,1394.0,92.0,1200000.0
38434,FLATBUSH-EAST,10,D4,11210,2.3948661722025153,4256.917964482139,52.0,325000.0
51287,BAYSIDE,02,B2,11360,2.0,3186.0,36.0,1290000.0
64595,JAMAICA,02,B2,11432,2.0,3190.0,96.0,1400000.0
458,CHELSEA,10,D4,10011,2.3948661722025153,4256.917964482139,90.0,949000.0
12946,UPPER EAST SIDE (59-79),13,R4,10065,1.0,4256.917964482139,26.0,675000.0
31564,BUSHWICK,02,B1,11221,2.0,3000.0,106.0,965000.0
84248,WILLOWBROOK,01,A9,10314,1.0,1200.0,47.0,675000.0
21195,MORRIS PARK/VAN NEST,02,B1,10462,2.0,1516.0,61.0,475000.0
61520,GLEN OAKS,10,D4,11005,2.3948661722025153,4256.917964482139,45.0,950000.0
44161,OLD MILL BASIN,01,A9,11234,1.0,1372.0,91.0,525000.0
47175,SUNSET PARK,03,C0,11232,3.0,3072.0,116.0,530000.0
59178,FLUSHING-SOUTH,01,A5,11367,1.0,2132.0,77.0,395000.0
65238,KEW GARDENS,10,D4,11418,2.3948661722025153,4256.917964482139,81.0,235000.0
78190,GRASMERE,01,A1,10305,1.0,1812.0,96.0,567200.0
56351,FLUSHING-NORTH,01,A1,11358,1.0,1728.0,91.0,880000.0
5927,HARLEM-EAST,15,R1,10029,1.0,4256.917964482139,107.0,1100000.0
368,CHELSEA,10,D4,10001,2.3948661722025153,4256.917964482139,56.0,114975.0
25697,BAY RIDGE,01,A1,11209,1.0,1540.0,91.0,1150000.0
42358,MIDWOOD,02,B3,11230,2.0,1932.0,96.0,630000.0
70275,RICHMOND HILL,02,B2,11418,2.0,2008.0,91.0,585000.0
28985,BOROUGH PARK,01,A1,11204,1.0,1481.0,57.0,990000.0
66808,MASPETH,01,A1,11378,1.0,1387.0,92.0,800000.0
57504,FLUSHING-NORTH,10,D4,11354,2.3948661722025153,4256.917964482139,58.0,305000.0
43571,OCEAN PARKWAY-NORTH,10,D4,11218,2.3948661722025153,4256.917964482139,75.0,420000.0
61160,FRESH MEADOWS,01,A1,11366,1.0,1196.0,82.0,875000.0
2285,FINANCIAL,13,R4,10006,1.0,4256.917964482139,61.0,1425000.0
84151,WESTERLEIGH,04,R3,10314,1.0,4256.917964482139,40.0,350000.0
39595,GERRITSEN BEACH,01,A9,11229,1.0,868.0,97.0,400000.0
414,CHELSEA,10,D4,10011,2.3948661722025153,4256.917964482139,77.0,1535000.0
46337,SHEEPSHEAD BAY,10,D4,11229,2.3948661722025153,4256.917964482139,57.0,265000.0
61302,GLEN OAKS,02,B2,11004,2.0,5334.0,1.0,1400093.0
18179,WASHINGTON HEIGHTS UPPER,10,D4,10040,2.3948661722025153,4256.917964482139,74.0,490000.0
19112,BRONXDALE,01,A5,10469,1.0,1364.0,76.0,457000.0
22335,PELHAM GARDENS,01,A1,10469,1.0,1500.0,67.0,550000.0
74131,ST. ALBANS,01,A1,11412,1.0,936.0,87.0,213771.0
71217,ROCKAWAY PARK,10,D4,11694,2.3948661722025153,4256.917964482139,56.0,160000.0
2302,FINANCIAL,13,R4,10005,1.0,4256.917964482139,12.0,1020000.0
8336,MIDTOWN EAST,13,R4,10022,1.0,4256.917964482139,27.0,1900000.0
18595,BAYCHESTER,02,B1,10469,2.0,2500.0,56.0,302000.0
68096,OZONE PARK,01,A1,11417,1.0,1110.0,91.0,470000.0
55489,FAR ROCKAWAY,01,A1,11691,1.0,1400.0,56.0,445000.0
54097,DOUGLASTON,01,A1,11363,1.0,3224.0,27.0,1186500.0
75403,WOODHAVEN,01,A1,11421,1.0,1884.0,102.0,523500.0
47014,SUNSET PARK,02,B9,11220,2.0,2034.0,107.0,1150000.0
58230,FLUSHING-NORTH,13,R4,11355,1.0,4256.917964482139,10.0,570000.0
77103,CASTLETON CORNERS,01,A1,10314,1.0,1500.0,61.0,650000.0
41206,KENSINGTON,10,D4,11218,2.3948661722025153,4256.917964482139,75.0,376396.0
45199,PARK SLOPE SOUTH,07,C2,11215,6.0,4755.0,109.0,2700000.0
50418,ASTORIA,13,R4,11106,1.0,4256.917964482139,8.0,650000.0
77541,DONGAN HILLS,02,B2,10304,2.0,2132.0,26.0,959500.0
5853,HARLEM-EAST,13,R4,10029,1.0,4256.917964482139,12.0,585292.0
70992,RIDGEWOOD,07,C2,11385,6.0,5300.0,86.0,1750000.0
31453,BUSHWICK,02,B3,11221,2.0,2220.0,116.0,1425000.0
70487,RICHMOND HILL,02,B2,11419,2.0,2232.0,87.0,710000.0
62655,HOLLIS,02,B3,11423,2.0,1264.0,97.0,430000.0
40436,GRAVESEND,10,D4,11214,2.3948661722025153,4256.917964482139,53.0,270000.0
55481,FAR ROCKAWAY,01,A5,11691,1.0,1080.0,86.0,144000.0
24302,THROGS NECK,02,B1,10465,2.0,2215.0,77.0,640000.0
80146,NEW BRIGHTON,01,A5,10301,1.0,1240.0,67.0,373000.0
56197,FLUSHING-NORTH,01,A1,11358,1.0,1446.0,87.0,980000.0
1855,EAST VILLAGE,10,D4,10009,2.3948661722025153,4256.917964482139,87.0,1490000.0
53273,COLLEGE POINT,04,R3,11356,1.0,4256.917964482139,5.0,530000.0
1522,CLINTON,10,D4,10019,2.3948661722025153,4256.917964482139,117.0,615000.0
61425,GLEN OAKS,09,C6,11426,2.3948661722025153,4256.917964482139,70.0,245000.0
11854,UPPER EAST SIDE (59-79),10,D4,10065,2.3948661722025153,4256.917964482139,90.0,875000.0
32527,CANARSIE,02,B3,11236,2.0,1968.0,107.0,400000.0
71723,SO. JAMAICA-BAISLEY PARK,01,A1,11436,1.0,952.0,86.0,420000.0
73513,SPRINGFIELD GARDENS,01,A1,11434,1.0,1328.0,97.0,635000.0
37279,FLATBUSH-CENTRAL,01,A1,11230,1.0,2231.0,92.0,1605000.0
83504,TRAVIS,01,A5,10314,1.0,1480.0,27.0,360000.0
28816,BOERUM HILL,13,R4,11217,1.0,4256.917964482139,1.0,95000.0
36252,EAST NEW YORK,01,A5,11208,1.0,1116.0,28.0,435000.0
71880,SO. JAMAICA-BAISLEY PARK,01,A9,11434,1.0,1152.0,55.0,260000.0
68655,QUEENS VILLAGE,01,S1,11428,2.0,1664.0,85.0,452000.0
71645,ROSEDALE,02,B2,11422,2.0,2100.0,56.0,525000.0
7871,MIDTOWN EAST,10,D4,10022,2.3948661722025153,4256.917964482139,86.0,335000.0
62019,GLENDALE,10,D4,11421,2.3948661722025153,4256.917964482139,62.0,165000.0
7420,MIDTOWN CBD,13,R4,10022,1.0,4256.917964482139,42.0,1435000.0
45595,PROSPECT HEIGHTS,13,R4,11238,1.0,4256.917964482139,2.0,2321610.0
8996,MIDTOWN WEST,10,D4,10036,2.3948661722025153,4256.917964482139,92.0,465000.0
9003,MIDTOWN WEST,10,D4,10036,2.3948661722025153,4256.917964482139,93.0,375000.0
25424,BATH BEACH,02,B1,11214,2.0,2160.0,97.0,1050000.0
24477,WAKEFIELD,01,A5,10466,1.0,1248.0,77.0,263639.0
81883,PRINCES BAY,01,A1,10309,1.0,1950.0,12.0,670000.0
42379,MIDWOOD,02,B2,11230,2.0,2600.0,92.0,1315500.0
40278,GRAVESEND,03,C0,11214,3.0,3430.0,56.0,1265000.0
5821,HARLEM-EAST,12,R2,10029,1.0,4256.917964482139,96.0,277105.0
37529,FLATBUSH-CENTRAL,10,D4,11226,2.3948661722025153,4256.917964482139,77.0,545000.0
22804,RIVERDALE,10,D4,10463,2.3948661722025153,4256.917964482139,50.0,665236.0
43213,OCEAN PARKWAY-NORTH,01,A1,11230,1.0,1840.0,96.0,780000.0
75945,WOODSIDE,10,D4,11377,2.3948661722025153,4256.917964482139,54.0,325000.0
27471,BEDFORD STUYVESANT,07,C1,11216,8.0,4426.0,86.0,1700000.0
7471,MIDTOWN CBD,45,RH,10022,1.0,4256.917964482139,113.0,295000.0
36734,EAST NEW YORK,02,B1,11208,2.0,2000.0,97.0,690000.0
41487,MADISON,03,C0,11229,3.0,4895.0,77.0,1600000.0
59882,FLUSHING-SOUTH,10,D4,11367,2.3948661722025153,4256.917964482139,64.0,312312.0
67046,MASPETH,10,D4,11378,2.3948661722025153,4256.917964482139,61.0,175000.0
2152,FINANCIAL,13,R4,10006,1.0,4256.917964482139,3.0,1741207.0
40709,GREENPOINT,03,C0,11222,3.0,3150.0,115.0,2400000.0
50676,ASTORIA,30,E2,11105,1.0,4465.0,2.0,1750000.0
27769,BEDFORD STUYVESANT,15,R1,11216,1.0,4256.917964482139,66.59317639471138,730000.0
51485,BAYSIDE,04,R3,11360,1.0,4256.917964482139,34.0,680000.0
56474,FLUSHING-NORTH,01,A1,11358,1.0,1388.0,81.0,300000.0
46863,SPRING CREEK,01,A5,11239,1.0,1634.0,1.0,419666.0
80787,NEW SPRINGVILLE,01,A5,10314,1.0,2657.0,4.0,650000.0
5315,HARLEM-CENTRAL,13,R4,10027,1.0,4256.917964482139,3.0,1052870.0
64917,JAMAICA ESTATES,01,A1,11423,1.0,2138.0,76.0,1325000.0
66764,MASPETH,01,A5,11377,1.0,1824.0,62.0,785000.0
44624,PARK SLOPE,09,C6,11217,2.3948661722025153,4256.917964482139,96.0,1295000.0
32397,CANARSIE,02,B1,11236,2.0,1884.0,57.0,700000.0
37098,EAST NEW YORK,14,S5,11207,7.0,4374.0,11.0,1512500.0
76867,BULLS HEAD,01,A5,10314,1.0,1960.0,21.0,530000.0
34,ALPHABET CITY,09,C6,10009,2.3948661722025153,4256.917964482139,97.0,450000.0
50490,ASTORIA,13,R4,11106,1.0,4256.917964482139,1.0,692410.0
28980,BOROUGH PARK,01,A5,11204,1.0,1600.0,91.0,680500.0
32842,CANARSIE,09,C6,11236,2.3948661722025153,4256.917964482139,50.0,150000.0
41840,MARINE PARK,01,A9,11234,1.0,1036.0,87.0,490000.0
37466,FLATBUSH-CENTRAL,07,C2,11226,6.0,6318.0,111.0,1200000.0
21545,MORRISANIA/LONGWOOD,07,C3,10459,4.0,3200.0,87.0,545000.0
55648,FAR ROCKAWAY,02,B9,11691,2.0,525.0,107.0,80000.0
56607,FLUSHING-NORTH,01,A5,11365,1.0,1633.0,77.0,630000.0
25092,WILLIAMSBRIDGE,02,B1,10466,2.0,3063.0,87.0,570000.0
57805,FLUSHING-NORTH,12,R2,11365,1.0,4256.917964482139,62.0,513644.0
8403,MIDTOWN EAST,13,R4,10017,1.0,4256.917964482139,34.0,1565000.0
8992,MIDTOWN WEST,10,D4,10019,2.3948661722025153,4256.917964482139,79.0,430950.0
68085,OZONE PARK,01,A1,11416,1.0,1182.0,87.0,500000.0
10592,SOHO,09,C6,10013,2.3948661722025153,4256.917964482139,117.0,1862000.0
54276,DOUGLASTON,09,C6,11362,2.3948661722025153,4256.917964482139,64.0,215000.0
72438,SOUTH JAMAICA,01,A1,11433,1.0,1065.0,97.0,116000.0
57405,FLUSHING-NORTH,10,D4,11354,2.3948661722025153,4256.917964482139,57.0,298000.0
28854,BOERUM HILL,13,R4,11201,1.0,4256.917964482139,111.0,935000.0
61132,FRESH MEADOWS,01,A2,11365,1.0,1491.0,72.0,845000.0
40511,GRAVESEND,13,R4,11204,1.0,4256.917964482139,2.0,537636.0
70661,RICHMOND HILL,22,K4,11419,3.0,2034.0,97.0,650000.0
44345,OLD MILL BASIN,09,C6,11234,2.3948661722025153,4256.917964482139,61.0,145000.0
8191,MIDTOWN EAST,10,D4,10022,2.3948661722025153,4256.917964482139,88.0,372900.0
24034,SOUNDVIEW,07,C2,10472,6.0,5670.0,88.0,1000000.0
83836,WEST NEW BRIGHTON,03,C0,10310,3.0,3300.0,66.0,300000.0
76716,BULLS HEAD,01,A5,10314,1.0,1246.0,22.0,300000.0
15095,UPPER WEST SIDE (59-79),07,C1,10024,9.0,4336.0,116.0,3000000.0
44060,OCEAN PARKWAY-SOUTH,10,D4,11223,2.3948661722025153,4256.917964482139,59.0,295000.0
44963,PARK SLOPE,15,R1,11217,1.0,4256.917964482139,107.0,1155000.0
81114,NEW SPRINGVILLE,04,R3,10314,1.0,4256.917964482139,32.0,260000.0
67179,MIDDLE VILLAGE,01,A5,11379,1.0,1360.0,72.0,790000.0
45352,PROSPECT HEIGHTS,09,C6,11238,2.3948661722025153,4256.917964482139,85.0,715000.0
67546,MIDDLE VILLAGE,07,C3,11379,4.0,2800.0,87.0,1142500.0
10184,MURRAY HILL,10,D4,10016,2.3948661722025153,4256.917964482139,62.0,665000.0
5426,HARLEM-CENTRAL,13,R4,10027,1.0,4256.917964482139,2.0,456425.0
77203,CASTLETON CORNERS,02,B3,10310,2.0,1251.0,62.0,538000.0
55320,ELMHURST,17,R9,11373,2.3948661722025153,4256.917964482139,56.0,342000.0
77121,CASTLETON CORNERS,01,A5,10310,1.0,1282.0,27.0,180000.0
37599,FLATBUSH-CENTRAL,10,D4,11210,2.3948661722025153,4256.917964482139,77.0,390000.0
69049,QUEENS VILLAGE,02,B3,11428,2.0,1689.0,86.0,450000.0
80564,NEW DORP-BEACH,01,A5,10306,1.0,1340.0,27.0,355000.0
66039,LITTLE NECK,09,C6,11362,2.3948661722025153,4256.917964482139,64.0,265000.0
18546,BAYCHESTER,02,B1,10469,2.0,2187.0,62.0,372000.0
73098,SOUTH OZONE PARK,01,A1,11420,1.0,1376.0,91.0,380000.0
69777,REGO PARK,13,R4,11374,1.0,4256.917964482139,68.0,420000.0
47319,SUNSET PARK,07,C2,11232,6.0,4980.0,90.0,525000.0
14814,UPPER EAST SIDE (79-96),13,R4,10128,1.0,4256.917964482139,15.0,1886512.0
20623,KINGSBRIDGE/JEROME PARK,03,C0,10468,3.0,2932.0,58.0,625000.0
45886,SHEEPSHEAD BAY,01,A9,11229,1.0,1036.0,91.0,483000.0
59429,FLUSHING-SOUTH,01,A5,11366,1.0,1296.0,67.0,715000.0
78149,GRANT CITY,13,R4,10306,1.0,4256.917964482139,56.0,207500.0
12414,UPPER EAST SIDE (59-79),10,D4,10065,2.3948661722025153,4256.917964482139,55.0,1545000.0
77328,CLOVE LAKES,10,D4,10301,2.3948661722025153,4256.917964482139,50.0,85000.0
80610,NEW DORP-BEACH,01,A5,10306,1.0,1825.0,20.0,499000.0
80811,NEW SPRINGVILLE,01,A5,10314,1.0,1274.0,37.0,592000.0
35558,DOWNTOWN-FULTON MALL,13,R4,11201,1.0,4256.917964482139,3.0,1578287.0
77293,CLOVE LAKES,01,A2,10310,1.0,1340.0,115.0,550000.0
3113,GRAMERCY,10,D4,10003,2.3948661722025153,4256.917964482139,54.0,952500.0
34754,CROWN HEIGHTS,44,RG,11238,1.0,4256.917964482139,7.0,60000.0
52014,BEECHHURST,01,A1,11357,1.0,1907.0,96.0,1623000.0
61242,FRESH MEADOWS,09,C6,11365,2.3948661722025153,4256.917964482139,65.0,150000.0
42271,MIDWOOD,01,A3,11210,1.0,2400.0,92.0,709409.0
56564,FLUSHING-NORTH,01,A5,11358,1.0,1732.0,67.0,754000.0
60713,FOREST HILLS,10,D4,11375,2.3948661722025153,4256.917964482139,65.0,570000.0
62025,GLENDALE,10,D4,11421,2.3948661722025153,4256.917964482139,63.0,190000.0
21770,MOTT HAVEN/PORT MORRIS,29,G2,10454,3.0,1650.0,85.0,825000.0
